endTime,artistName,trackName,msPlayed
2022-03-29 19:09,Sugar Ray,Into Yesterday,382888
2022-03-29 19:12,The Romantics,What I Like About You,177066
2022-03-29 19:16,Incubus,Drive,232960
2022-03-29 19:19,311,Reggae Got Soul,145336
2022-03-29 19:19,Cold War Kids,We Used To Vacation,11040
2022-03-29 19:23,Sugar Ray,Boardwalk,18263
2022-03-29 19:23,Sugar Ray,Into Yesterday,251466
2022-03-29 19:24,The Avett Brothers,At the Beach,27710
2022-03-29 23:43,Sugar Ray,Into Yesterday,251466
2022-03-29 23:44,Big Nose,Wipe Out,28042
2022-03-29 23:47,Dirty Heads,Stand Tall,191280
2022-03-29 23:51,Incubus,Drive,232960
2022-03-29 23:54,The Romantics,What I Like About You,177066
2022-03-29 23:57,Dirty Heads,Vacation,209721
2022-03-30 00:01,Dirty Heads,Lay Me Down (feat. Sublime With Rome),215146
2022-03-30 00:04,Shwayze,Too Late (with Dirty Heads),157084
2022-03-30 00:07,Dirty Heads,Rage (feat. Travis Barker and Aimee Interrupter of The Interrupters),194789
2022-03-30 00:10,Finish Ticket,Dream Song,218000
2022-03-30 00:14,THE DRIVER ERA,Low,210445
2022-03-30 00:14,Pearl Jam,Big Wave,10239
2022-03-30 00:19,New Radicals,You Get What You Give,300773
2022-03-30 00:20,Cody Fry,Eleanor Rigby,36600
2022-03-30 00:23,We The Kings,"Check Yes, Juliet",169203
2022-03-30 03:02,Vampire Weekend,A-Punk,1365
2022-03-30 03:02,Saint Motel,My Type,4053
2022-03-30 03:02,The Mowgli's,"Say It, Just Say It",3500
2022-03-30 03:02,Joe Hisaishi,Reprise,293600
2022-03-30 03:03,Joe Hisaishi,A Town with an Ocean View,50048
2022-03-30 03:03,MIKA,Lollipop,8512
2022-03-30 03:03,Cécile Corbel,The Neglected Garden,6271
2022-03-30 03:03,Counting Crows,"Accidentally In Love - From ""Shrek 2"" Soundtrack",1898
2022-03-30 03:05,Joe Hisaishi,A Shooting Star,97480
2022-03-30 03:06,Joe Hisaishi,A Journey (Caproni Retires),79813
2022-03-30 03:07,Joe Hisaishi,Nahoko (Her Destiny),45866
2022-03-30 03:09,Joe Hisaishi,A Journey (The Wedding),116960
2022-03-30 03:10,Joe Hisaishi,A Journey (A Parting),78360
2022-03-30 03:14,Joe Hisaishi,A Journey (A Kingdom of Dreams),215733
2022-03-30 03:17,Yomiuri Nippon Symphony Orchestra,The Oiwa Home,215720
2022-03-30 03:18,Takatsugu Muramatsu,Sketching on the Boat,42946
2022-03-30 16:05,Nuvo Orchestra 누보 오케스트라,My Neighbor Totoro Ending Theme (From My Neighbor Totoro [Original Soundtrack]) 이웃집 토토로 엔딩 테마(From 이웃집 토토로 [Original Soundtrack]) - Live,31402
2022-03-30 16:08,Two Door Cinema Club,What You Know,191706
2022-03-30 16:12,Cage The Elephant,Trouble,225973
2022-03-30 16:17,Nirvana,Smells Like Teen Spirit,301920
2022-03-30 16:50,Mac Miller,Live Free,193525
2022-03-30 16:54,Frank Ocean,Lost,234093
2022-03-30 17:00,Cherub,Doses & Mimosas,323253
2022-03-30 18:14,Arctic Monkeys,Why'd You Only Call Me When You're High?,161123
2022-03-30 18:18,The Backseat Lovers,Kilby Girl,282205
2022-03-30 18:21,Ian Hugel,SUMMER GIRL,168384
2022-03-30 18:26,Outkast,Ms. Jackson,270506
2022-03-30 18:29,Yoke Lore,Beige,204208
2022-03-30 18:33,Bickle,Naked,210004
2022-03-30 18:37,Kanye West,Bound 2,229146
2022-03-30 18:40,Kings of Leon,Sex on Fire,203346
2022-03-30 18:45,Rex Orange County,Television / So Far So Good,262600
2022-03-30 19:35,MGMT,Electric Feel,38677
2022-03-30 19:38,Cécile Corbel,The Neglected Garden,8500
2022-03-30 19:38,Yuji Nomi,A Hilly Town,193026
2022-03-30 19:40,Joe Hisaishi,A Shooting Star,97480
2022-03-30 19:41,Joe Hisaishi,The House At Swamp Bottom,89773
2022-03-30 19:45,Joe Hisaishi,Ashitaka and San,192506
2022-03-30 19:48,Tamiya Terashima,Men of the Earth,190333
2022-03-30 19:49,Takatsugu Muramatsu,Sketching on the Boat,42946
2022-03-30 19:50,Yuji Nomi,Talking with Cats,100333
2022-03-30 19:51,Joe Hisaishi,Nahoko (Her Destiny),45866
2022-03-30 19:52,Yuji Nomi,The Elf Queen,60466
2022-03-30 19:55,Joe Hisaishi,One Summer Day,189800
2022-03-30 19:58,Joe Hisaishi,Un Unusual Painting,142093
2022-03-30 19:59,Yuji Nomi,Feeling Down After School,75266
2022-03-30 20:00,Joe Hisaishi,A Journey (Caproni Retires),79813
2022-03-30 20:03,Joe Hisaishi,Departure -To the West-,152973
2022-03-30 20:05,Yuji Nomi,Engelszimmer,122466
2022-03-30 20:06,Joe Hisaishi,Porco e Bella,66160
2022-03-30 20:13,Joe Hisaishi,The Boy Who Swallowed a Star,449840
2022-03-30 20:16,Joe Hisaishi,The Flower Garden,178506
2022-03-30 20:20,Yomiuri Nippon Symphony Orchestra,The Oiwa Home,215720
2022-03-30 20:22,Yuji Nomi,At the Crossroads,137400
2022-03-30 20:26,Joe Hisaishi,A Journey (A Kingdom of Dreams),215733
2022-03-30 20:27,Yuji Nomi,The World Emporium,67426
2022-03-30 20:31,Yuji Nomi,Reminiscence,248733
2022-03-30 20:34,Joe Hisaishi,Night Signals,157093
2022-03-30 20:37,Yuji Nomi,Flowing Clouds Atop the Shining Hills,203160
2022-03-30 20:39,Yuji Nomi,Starry Night Sky,130066
